#_,_
button.back,Geri
base.door.2413c379-f721-42d6-aca8-e1fb7eb9011f.text,"<b> Diriliş: </b> Kart çizmenin zamanı geldiğinde, bunun yerine uygun <i> atma </i> ıskartanın tepesinden bir veya tamamını alabilirsin. <br> Ardından, çizilen her kart için elinizden bir kart atın. Her atma size +3 bonus verir."
base.door.fe64f0ce-af63-467d-8ad1-0ee7ddbc344f.text,"<b> Diriliş: </b> Kart çizmenin zamanı geldiğinde, bunun yerine uygun <i> atma </i> ıskartanın tepesinden bir veya tamamını alabilirsin. <br> Ardından, çizilen her kart için elinizden bir kart atın. Her atma size +3 bonus verir."
base.door.ca594201-bd83-4215-8b5a-88f5359bd827.text,"<b> Diriliş: </b> Kart çizmenin zamanı geldiğinde, bunun yerine uygun <i> atma </i> ıskartanın tepesinden bir veya tamamını alabilirsin. <br> Ardından, çizilen her kart için elinizden bir kart atın. Her atma size +3 bonus verir."
base.door.5705ed95-b87d-4cc0-9daf-f6382be734a8.text,"<b> backstabbing: </b> Başka bir oyuncuyu geri almak için bir kart atabilirsiniz (savaşta -2). Bunu savaş başına mağdur başına sadece bir kez yapabilirsiniz, ancak iki oyuncu birlikte bir canavarla savaşıyorsa, her birini destekleyebilirsiniz. Başka bir oyuncu tarafından taşınan küçük ürün. Bir kalıp; 4 veya daha fazla başarılı. Aksi takdirde, vurulur ve bir Level kaybedersiniz."
base.door.6f8d05dd-10e6-41b3-813b-a74d4afa2a62.text,"<b> backstabbing: </b> Başka bir oyuncuyu geri almak için bir kart atabilirsiniz (savaşta -2). Bunu savaş başına mağdur başına sadece bir kez yapabilirsiniz, ancak iki oyuncu birlikte bir canavarla savaşıyorsa, her birini destekleyebilirsiniz. Başka bir oyuncu tarafından taşınan küçük ürün. Bir kalıp; 4 veya daha fazla başarılı. Aksi takdirde, vurulur ve bir Level kaybedersiniz."
base.door.a6ebc11c-6d9a-462c-b8e9-b2ec5e2d0222.text,"<b> backstabbing: </b> Başka bir oyuncuyu geri almak için bir kart atabilirsiniz (savaşta -2). Bunu savaş başına mağdur başına sadece bir kez yapabilirsiniz, ancak iki oyuncu birlikte bir canavarla savaşıyorsa, her birini destekleyebilirsiniz. Başka bir oyuncu tarafından taşınan küçük ürün. Bir kalıp; 4 veya daha fazla başarılı. Aksi takdirde, vurulur ve bir Level kaybedersiniz."
base.door.7ff31d6d-05bd-4b10-bae9-fe18ba7ea087.text,<b> Berserking: </b> Savaşta en fazla üç kartı atabilirsiniz; Her biri size +1 bonus verir. <br> Savaşta bağlar kazanırsınız.
base.door.08bbdd74-a5bb-4150-980a-63ffb491e787.text,<b> Berserking: </b> Savaşta en fazla üç kartı atabilirsiniz; Her biri size +1 bonus verir. <br> Savaşta bağlar kazanırsınız.
base.door.094b1e99-e8e3-4111-8ad7-6d9f57c62bc4.text,<b> Berserking: </b> Savaşta en fazla üç kartı atabilirsiniz; Her biri size +1 bonus verir. <br> Savaşta bağlar kazanırsınız.
base.door.388e4af8-ba44-4715-9962-455838bfbe73.text,"<b> Uçuş Büyüsü: </b> Kaçmak için kalıptan geçtikten sonra üç karta atabilirsiniz; Her biri size kaçmak için +1 bonus verir. Canavarı atın ve hazinesini alın, ancak Level kazanmayın. Savaşta başka canavarlar varsa, normal olarak onlarla savaşın."
base.door.dda0c66f-0b6b-40dc-bd2c-4f0728c8089a.text,"<b> Uçuş Büyüsü: </b> Kaçmak için kalıptan geçtikten sonra üç karta atabilirsiniz; Her biri size kaçmak için +1 bonus verir. Canavarı atın ve hazinesini alın, ancak Level kazanmayın. Savaşta başka canavarlar varsa, normal olarak onlarla savaşın."
base.door.3427143b-61fc-4317-a299-6c5333462a70.text,"<b> Uçuş Büyüsü: </b> Kaçmak için kalıptan geçtikten sonra üç karta atabilirsiniz; Her biri size kaçmak için +1 bonus verir. Canavarı atın ve hazinesini alın, ancak Level kazanmayın. Savaşta başka canavarlar varsa, normal olarak onlarla savaşın."
base.door.b1cc599b-1ab0-4980-ad9a-f99882647fb0.text,"İki sınıf kartınız olabilir ve her birinin <i> ve </i> dezavantajlarının tüm avantajlarına sahip olabilir. Ya da bir sınıf kartınız olabilir ve tüm avantajları ve hiçbiri dezavantajları olabilir (örneğin, nefret eden canavarlar bir süper din adamına karşı bonusu olmayacak). <br> Bu kartı kaybederseniz Sınıf kartlarınızı kaybedersiniz."
base.door.26a21bc0-e8c9-49df-b088-67d1232fb7b6.text,"İki sınıf kartınız olabilir ve her birinin <i> ve </i> dezavantajlarının tüm avantajlarına sahip olabilir. Ya da bir sınıf kartınız olabilir ve tüm avantajları ve hiçbiri dezavantajları olabilir (örneğin, nefret eden canavarlar bir süper din adamına karşı bonusu olmayacak). <br> Bu kartı kaybederseniz Sınıf kartlarınızı kaybedersiniz."
base.door.ff722a55-5407-439d-b7af-57f633e0dbf3.text,Çok sayıda büyük item taşıyabilirsiniz. <br> Elinizde altı kart olabilir.
base.door.11906a8f-4622-47bd-91ba-a6f5bedb0e5d.text,Çok sayıda büyük item taşıyabilirsiniz. <br> Elinizde altı kart olabilir.
base.door.2faaf8ea-2915-42dc-a71a-91f7ef6c2b9f.text,Çok sayıda büyük item taşıyabilirsiniz. <br> Elinizde altı kart olabilir.
base.door.9fa924db-5b36-4831-9f6e-de8303b001b0.text,1+ kaçmak için. <br> Yardım ettiğiniz her başarılı canavar öldürmede 1 level kazanırsınız.
base.door.df82e0d2-07a4-47aa-b6cb-0a0281a2f2cc.text,1+ kaçmak için. <br> Yardım ettiğiniz her başarılı canavar öldürmede 1 level kazanırsınız.
base.door.3b6f7658-e53f-4713-b447-16785e3eb036.text,1+ kaçmak için. <br> Yardım ettiğiniz her başarılı canavar öldürmede 1 level kazanırsınız.
base.door.d9952bfe-f65d-4d46-881a-7e1a2e46f06f.text,"Her tur bir itemi iki katına kadar fiyata satabilirsiniz (diğer itemlar normal fiyattadır).<br>İlk Run Away atışınızda başarısız olursanız, bir kartı atabilir ve bir kez daha deneyebilirsiniz."
base.door.97567e5e-96cf-4ddb-9112-2fce279a0138.text,"Her tur bir itemi iki katına kadar fiyata satabilirsiniz (diğer itemlar normal fiyattadır).<br>İlk Run Away atışınızda başarısız olursanız, bir kartı atabilir ve bir kez daha deneyebilirsiniz."
base.door.6e83b590-71df-48b3-acdc-481e1a2be7fe.text,"Her tur bir itemi iki katına kadar fiyata satabilirsiniz (diğer itemlar normal fiyattadır).<br>İlk Run Away atışınızda başarısız olursanız, bir kartı atabilir ve bir kez daha deneyebilirsiniz."
base.door.4e25e9b2-f39b-426e-9fc0-134d00226b98.text,"İki Irk kartınız olabilir ve her birinin tüm avantajlarına sahip olabilirsiniz. Ya da bir Irk kartınız olabilir ve tüm avantajları ve hiçbiri dezavantajları olabilir (örneğin, elflerden nefret eden canavarların yarım elf karşı bonusu olmayacaktır). Irk kartlarınızı kaybederseniz bu kartı kaybedin."
base.door.bf201553-be7c-4479-a7a0-9cc417588198.text,"İki Irk kartınız olabilir ve her birinin tüm avantajlarına sahip olabilirsiniz. Ya da bir Irk kartınız olabilir ve tüm avantajları ve hiçbiri dezavantajları olabilir (örneğin, elflerden nefret eden canavarların yarım elf karşı bonusu olmayacaktır). Irk kartlarınızı kaybederseniz bu kartı kaybedin."
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.text,Level 4'ten veya daha düşükseniz sizinle savaşmayacaktır.
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.text,"Slimy! Elfler -4'te! Elfler hariç, Level 4'ten veya daha düşükseniz sizinle savaşmayacaktır."
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.text,Level 3'ten veya daha düşükseniz sizinle savaşmayacaktır.
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.text,"Level 3 veya daha düşükseniz sizinle savaşmayacaktır. Üst düzey karakterler iki Level kaybeder, kaçış olsalar bile </i>."
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.text,"Level 3 veya daha düşükseniz sizinle savaşmayacaktır. Üst düzey karakterler iki Level kaybeder, kaçış olsalar bile </i>."
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.text,Levelniz sayılmaz. Onunla sadece item bonuslarınızla savaşın!
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.text,"Taşlı Golem ile savaşıp sadece dalgalanmayı, yanından geçip hazinesini korumasına izin vermeyi seçebilirsiniz. (<b> istisna: </b> yarım kales lezzetli görünüyor ve savaşmalı.)"
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.text,Savaşçılara karşı +4.
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.text,Cücelere ve yarımlara karşı +3.
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.text,Cehennemden bir yaratık. Din adamlarına karşı +4. Savaştan önce bir itemi (seçiminiz) atmalısınız.
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.text,"Bir din adamı savaşmak yerine, sadece “Booga Booga” yı giderek Wannabe Vampirini kovalayabilir ve tüm hazinesini alabilir. Bunun için Level bir artış yok!"
base.door.55e5c91e-a987-4900-abec-0f502175288a.text,Eski kinler nedeniyle cücelere karşı +6.
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.text,"Yüzen burunla savaşmak istemiyorsanız, en az 200 altın parçaya değer bir itemyle rüşvet verebilirsiniz ve gitmenize izin verecektir."
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.text,Özel bir gücü yok ve buna gerçekten kızıyor.
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.text,Kadınlara saldırmayacak; Bunun yerine onlara bir hazine veriyor.
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.text,Kimse sana yardım edemez. Sadece Gazebo yüzleşmelisin.
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.text,Hiçbir item veya diğer bonuslar onlara karşı yardımcı olmaz - sadece Levelnizle savaşın.
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.text,Bu iğrenç!! Elflere karşı +6.
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.text,Bir hırsıza saldırmayacak (profesyonel nezaket). Bir avukatla karşılaşan bir hırsız bunun yerine iki hazine atabilir ve iki hazine çekebilir.
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.text,Büyüye direnir. büyücülara karşı +6.
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.text,Yardım veya bonus kullanmadan öldürürseniz ekstra bir Level kazanın.
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.text,Savaşçılara karşı +6.
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.text,Büyüye direniyorlar. büyücülara karşı +5.
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.text,O iğrenç!! Elflere karşı +5.
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.text,Kaçış zarına -2.
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.text,Cücelere karşı +5.
base.door.b9d66767-ceee-47bb-a428-691cb557c716.text,Kaçış zarına -1
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.text,Kaçmak zarına +1.
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.text,Kızarmış tavuk lezzetlidir. Ateş veya alevle öldürürseniz ekstra bir Level kazanın.
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.text,"Eğer yenemezseniz, herhangi bir asa, direk veya personeli bırakarak dikkatini dağıtabilirsiniz (otomatik kaçış). (Yakala, Fido!)"
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.text,Kaçılmaz!
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.text,Yucky Slime! Elflere karşı +4.
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.text,Kaçış zarına +1.
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.text,Cehennemden bir yaratık. Din adamlarına karşı +3.
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.text,Elfler yendikten sonra ekstra bir hazine kazanır.
base.door.db4f0e50-a540-4f28-bf8c-cc3eef7d8110.text,"Canavara +10 güç ekler <br> Herhangi bir savaş sırasında oynayın. Canavar yenilirse, ekstra iki hazine kazanır."
base.door.bf631030-1e99-4ccc-ae8f-a538a9038c0b.text,"Canavara -5 güç kaybeder <br> Herhangi bir savaş sırasında oynayın. Canavar yenilirse, bir daha az hazine (en düşük 1) kazanır."
base.door.07501f59-6c5a-41fb-99be-e6b0706e001d.text,"Canavara +5 güç ekler <br> Herhangi bir savaş sırasında oynayın. Canavar yenilirse, ekstra bir hazine çizin."
base.door.45814a37-7d87-4333-8e69-3068628f2474.text,"Canavara +10 güç ekler <br> Herhangi bir savaş sırasında oynayın. Canavar yenilirse, ekstra iki hazine kazanır."
base.door.b6ec7ed3-9676-42c9-a55b-f5803f12470d.text,"Canavara +5 güç ekler <br> Herhangi bir savaş sırasında oynayın. Canavar yenilirse, ekstra bir hazine kazanır."
base.door.b95cafbd-d581-43ff-a08b-39979135b256.text,"Aynı Levelde ve aynı canavar arttırıcılarla başka bir canavar görünür. Canavarlar yenilirse, her biri için hazine çekin ve her biri için Levellere kazanın."
base.door.efa6fd1e-5308-467c-ae0e-2db9ccfe211a.text,"Birisi (siz dahil!) Savaşta olduğunda, bu kartı elinizden bir canavarla oynayın. Canavarınız zaten savaşan kişiye katılıyor - savaş güçlü yönlerini ekleyin. Karakter (ler) kaçmalısa, kurbanın seçtiği sırayla kaçan girişimleri ayrı ayrı çözün."
base.door.db238a1c-81ef-4b02-8bc2-4dcb50577ab3.text,"Bu kartı, oynadığınız bir ürün kartıyla veya elinizden bir ürün kartı çaldığınızda oynatın. Bu item, başka türlü olmasa bile kullanmanız için yasaldır. Ekli itemi kaybettiğinizde (sattığınızda) bu kartı atın."
base.door.68e54c25-7e83-4c13-ab9a-13d1381d5850.text,"Bu kartı alır almaz oynamalısınız. <br> Tüm din adamları hemen bir Levelye çıkıyor. Bu kazanma Levelsi olabilir. Bu kart kazanırsa, diğer oyuncuları acımasızca alay etme hakkınız vardır."
base.door.8cf2ebf1-610d-448e-a5f6-76f4c73d8176.text,"Bir savaş kaybederken bu kartı oynayın. Başka bir oyuncudan bir item alın. Aldığınız anda, bu item kazandığınız ve bu savaşı kaybedersin arasındaki farkı yaratmalıdır. İsterseniz, itemi almadan önce kendinize ait bir şey atabilirsiniz."
base.door.04774ddc-83e9-48a2-b1ed-3ae630e511b3.text,"Herhangi bir savaş sırasında bu kartı oynayın. Bu savaştaki herhangi bir canavarı, onu değiştirmek için oynanan kartlarla birlikte atın ve elinizden bir canavar kartı ile değiştirin."
base.door.47b91b62-624d-4543-a0da-50e55cf47a56.text,Bu odadaki canavar mola veriyor. Herhangi bir savaş sırasında bu kartı oynayın. Canavar (lar) ile karşı karşıya olan oyuncu hepsini atar ve hemen iki hazine kartı kazanır.
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.badstuff,"Kavrulup yenirsiniz. Ölüsünüz.<br>Sıranız geldiğinde bu canavarı yenerseniz, ekstra bir seviye kazanın."
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.badstuff,Kemik dokunuşu size iki Levele mal olur.
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.badstuff,Yüzülerek öldün.
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.badstuff,"Yakalandınız, inceltildiniz, ezildiniz ve gobbled. Öldüğün, ölüsün, ölüsün. Herhangi bir sorunuz var mı?"
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.badstuff,Ezildin ve çiğnendin. Kaçarken bir şeyleri düşürürsün. Sırayla sizden önceki oyuncudan başlayarak her oyuncu önünüzden veya (bakmadan) elinizden bir Hazine kartı alabilir.
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.badstuff,Elinizdeki tüm eşyalarınızı ve tüm kartlarınızı kaybedin.
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.badstuff,Seviye 1'e düşürülürsünüz.
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.badstuff,"Sigorta satın alıyorsunuz. 1.000 altın parçasının değerini kaybedin. Eğer o kadar çok yoksa, sahip olduğunuz her şeyi kaybedin."
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.badstuff,Munchies var. Seni yiyor. Sen öldün.
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.badstuff,Bir büyücü dışında herkes için konuşulmayan korkunç bir ölüm. Bir büyücü sadece güçlerini kaybeder - büyücü kartını atar.
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.badstuff,Seni tekmeler ve şapkanı yer. Taktığın başlığını kaybettin.
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.badstuff,Gerçekten iğrenç bir öpücük size iki Levele (elfler için üç) mal olur.
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.badstuff,Kapıyı engeller ve size karakterini anlatır. Üç Level kaybetdersin.
base.door.55e5c91e-a987-4900-abec-0f502175288a.badstuff,"Ölüm zarı at. 2 veya daha azında sizi ölümüne sokarlar. Aksi takdirde, zarın gösterdiği kadar seviye kaybedin."
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.badstuff,"Sizi her yerde koklayabilir. Eğer kaybederseniz, kaçamazsınız; Hiçbir şey sana yardımcı olmayacak. Üç Level kaybetdersin."
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.badstuff,En yüksek Leveldaki oyuncu(lar)ın sizden herhangi bir Öğeyi (her biri) almasına izin vermenizi sağlayarak oyun dengesini alt üst eder.
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.badstuff,"Bir kadın tarafından kıçınız tekmelenir. Maço munchkin gururunuz kayboldu. Sınıflarınızı kaybedin. Zaten sınıfınız yoksa, Üç Level kaybedersin."
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.badstuff,Üç Level kaybedersin.
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.badstuff,En düşük levela sahip olan oyuncunun leveline düşersin
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.badstuff,"Yüzünüzü emdiğinde, Başlığınız onunla gider. Giydiğiniz başlığı atın ve bir Level kaybedin."
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.badstuff,Size bir ihtar verir. Sırayla sizden sonraki oyuncudan başlayarak diğer oyuncuların elinizden bir kart çekmesine izin verin. Kalanları kartlarınızı atın.
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.badstuff,Ya tüm elinizi atın ya da iki level kaybedin.
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.badstuff,Mermi kusma saldırısı! Tüm elinizi atın.
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.badstuff,"Normal, sıkıcı bir insan olursun. Oyunda herhangi bir Irk veya sınıf kartını atın."
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.badstuff,Müzikleri gerçekten çok kötü. 2 Level kaybedersin.
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.badstuff,Sizden iki öğe alır - sizden önceki ve sonraki oyuncular tarafından sırayla seçilir.
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.badstuff,Hazinenizi çalıyorlar. Bir zar atın ve elinizdeki o kadar çok öğeyi veya kartı kaybedin - seçim sizin.
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.badstuff,"Tekmeler, ısırmalar ve berbat kokular. İki level kaybet."
base.door.b9d66767-ceee-47bb-a428-691cb557c716.badstuff,Onlar ısırır! İki Level kaybedersin.
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.badstuff,Tüm büyük eşyalarınızı bırakın.
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.badstuff,Çok acı verici gagalama. Bir Level kaybetdersin.
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.badstuff,Fang kıçına işaret ediyor. İki Level kaybetdersin.
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.badstuff,Zırhı atın ve belin altına giyilen tüm itemler.
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.badstuff,Giydiğiniz ayakları atın. Footgear'ınız yoksa bir Level kaybedin.
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.badstuff,Sizi koltuk değneği ile vuruyor. Bir Level kaybedersin.
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.badstuff,Seni dövüyor. Bir Level kaybedersin.
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.badstuff,Hiçbiri. Kaçış otomatiktir.
monster.thumbnail.rewardlevels,{0} Level
monster.thumbnail.treasures,{0} hazineler
monster.badstuff,<b> <i> Kötü şeyler: </i> </b> {0}
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.name,1.000 Altın 
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.name,Karınca yuvası kaynatın
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.name,Yemekle rüşvet GM
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.name,Uygun ekleme hatası
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.name,Belirsiz kuralları çağırın
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.name,Hireling'i öldür
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.name,Cesetleri Parçalayın
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.name,Genel Sağlamlık İksiri
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.name,GM'de sızlanma
base.treasure.377084fc-4baa-4efa-944b-fd090892c031.name,BadBoy Bandana
base.treasure.eb7c59af-c029-4b93-bf65-1cca669e1d1a.name,Kıç tekmeleme botu
base.treasure.1c542973-9445-452b-8bb9-c8de9c5e431b.name,Gerçekten hızlı koşma botları
base.treasure.a93afb4f-fc2a-489b-9f94-e5ee450af48f.name,Yaylar ve kurdeleler
base.treasure.f08f4fef-42c6-4b3e-b189-cc5dd37d00a8.name,Geniş kılıç
base.treasure.57f25b88-39fc-448c-b345-bcd6f8cf18d9.name,Swashing Kalkanı
base.treasure.0ec11cb6-b54b-4149-907f-c5c593de9f83.name,Kanlı Elektrikli Testere
base.treasure.b25c2d56-b5b7-4f69-ad18-50218663e904.name,Barış Peyniri Rendesi
base.treasure.d2e348c6-1d45-4de2-b4ba-f1b5299594f7.name,Belirsizlik Pelerini
base.treasure.9b45cc0d-e712-40df-b3f6-f8367737a241.name,Cotion of Ponfusion
base.treasure.b7b46f34-6a41-46ec-8931-df8080fc7e91.name,İhanet hançeri
base.treasure.572c199d-5ef9-4e96-be7b-1878fc121faf.name,İkizini çağır
base.treasure.b493204a-28ba-4ff5-b17f-22bf0e0241b1.name,Elektrikli radyoaktif asit iksir
base.treasure.8ff92ccf-abcf-4190-b405-828766f21113.name,On bir ayak direği
base.treasure.c6fe1a3b-7c10-4703-b4fb-497bb375389f.name,Alev zırhı
base.treasure.f7cd336c-60b8-4e61-a4fe-cb1e6dce2c39.name,Yanan zehir iksiri
base.treasure.bab711fd-f1c8-4524-8ab4-6ad7ad2a78c4.name,Tutkal şişesi
base.treasure.fd24ac44-4967-4a73-b8aa-06079d2b0905.name,Donma Patlayıcı İksir
base.treasure.c6a15483-66f3-4dbe-93be-cb1fb252e896.name,Dostluk İksiri
base.treasure.89a4bc60-e43e-4145-a2af-a82600c9c261.name,Centilmenler Kulübü
base.treasure.24b6690b-4ac7-4ad0-b8b2-14e93e59d441.name,Dizkapağı Çekici
base.treasure.960594e9-a865-42ea-ba5a-461f8063681d.name,Cesaret Miğferi
base.treasure.3dc3ee77-f659-4958-bbad-e96d2150b04e.name,Azgın kask
base.treasure.d161d2e4-ac68-4c7b-9717-0622bc3bc9cb.name,Büyük kaya
base.treasure.af149629-7862-46fe-ae34-032d32fe4426.name,Anlık duvar
base.treasure.b2dd96da-6302-4d5d-8f43-e1fb2efb10e4.name,Görünmezlik iksiri
base.treasure.5f2391a7-e51d-4404-a5ee-f2f9edaa6a2b.name,Cazibeli Dizlik
base.treasure.67b44251-96b9-431a-ac9d-f733809e7097.name,Deri zırh
base.treasure.4e5de80a-9f85-42e7-8cf7-9e226f499824.name,Limburger ve <br> Anchovy Sandviçi
base.treasure.63f73b7d-acc0-4122-a612-4840df4d776a.name,Yüklü zar
base.treasure.465e86f2-0caf-40cc-a01d-28009a2aaf4c.name,Keskinlik Topuzu
base.treasure.c75e93c1-aa61-4183-b61b-4e6865310279.name,Sihirli Lamba
base.treasure.4a31ba6f-b418-4549-91a2-2ff916079b76.name,Sihirli füze
base.treasure.e712b749-e3ea-4d07-9169-72c33baea44f.name,Mithril zırhı
base.treasure.38254fbc-79f9-48fc-ae10-ebe6ee0fbb4d.name,Tatsız Spor İçeceği
base.treasure.a4b9df0f-71ad-4e20-9c61-cc2e6822d44d.name,Dev Kuvvetli Külotlu Çorap
base.treasure.e0b9571f-352f-4728-b29c-eee1d4870e7b.name,Sivri Güç Şapkası
base.treasure.0c2c5abd-aea7-418e-9e9e-a2e19fe3d2ef.name,Pollymorph Potion
base.treasure.adb879cd-9d2b-408a-bac2-54a0bcad9e18.name,Potion of Halitosis
base.treasure.89f5f35f-d81e-4a95-8cc5-a9c188522bce.name,Aptal cesareti iksiri
base.treasure.ec6ba1d5-3ecf-40a2-82b1-592fc7799d5c.name,Güzel Balonlar
base.treasure.f8f3606d-0532-46bf-aeba-060b370ca22a.name,Adaletsizliğin Mızrağı
base.treasure.6677b88d-6f08-49e9-adc0-5125f4549f41.name,Sıçanlı Çubuk
base.treasure.4a44eff7-1d4d-43bc-8994-9d9e0533cfaf.name,Gerçekten Etkileyici Ünvan
base.treasure.7bc68e56-6b74-4c4e-80f1-d76e7456759b.name,Koruma sandaletleri
base.treasure.40c01965-1169-4e05-a1c1-fc8719bb36bf.name,Her şeye Kadir Kalkan
base.treasure.91af4f9b-1ab3-4e6d-a606-ee73d9511354.name,Kısa geniş zırh
base.treasure.a7cfecc2-8f03-469c-86d1-eca7abd48563.name,Şarkı Söyleyen ve <br> Dans eden Kılıç
base.treasure.8ca5bc1d-d31a-404f-8a2c-08d684acb661.name,Uyku iksiri
base.treasure.e40ee953-081e-4b41-b095-0ca9ad681d8a.name,Sümüklü zırh
base.treasure.f1a6aaf7-47ca-4952-b46b-b2e9bd5ae27a.name,Sinsi Şerefsiz kılıç
base.treasure.61bb425e-f07a-4db1-87cc-2fc4b8802c51.name,Dikenli dizler
base.treasure.9cc482d6-25ea-4502-bb10-12ed4deff95e.name,Napalm Personeli
base.treasure.af9daf73-1d23-4ac1-b3c2-88bc10587054.name,Seyyar merdiven
base.treasure.70b796bf-98e7-401d-b36f-e71399a3c403.name,İsviçre Ordusu Sırıklı Silahı
base.treasure.93c7eb95-8657-4ae8-bdb7-21ab2029cbd0.name,Transfer iksiri
base.treasure.d6b481cd-18fc-4de3-a5e3-95f0858bf832.name,Cazibe tubası
base.treasure.c337a23b-3fa8-4295-96b7-e3706cdba824.name,Dowsing'in asası
base.treasure.bd195b65-4e6a-4674-aa26-b6562b50a7d2.name,Dilek Yüzüğü
base.treasure.bb8ffb65-35e4-4dcf-9860-af3bd016953b.name,Yuppie suyu
base.treasure.f233b5ea-f811-4ea6-b518-cda41543639a.name,Hidreling
base.treasure.a685c4ed-40a4-4cd8-a640-02aa65d2c768.name,Zula!
base.treasure.d45aaf27-559f-488f-a477-d6858bb56fad.name,Bir Level çalarsın
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.text,Bir Level atlarsın
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.text,Bir Level atlarsın
